organism,count
"gi|2363080243|ref|NR_178346.1| Acidihalobacter prosperus strain DSM 5130 16S ribosomal RNA, partial sequence",2
"gi|2363080241|ref|NR_178345.1| Acidihalobacter aeolianus strain V6 16S ribosomal RNA, partial sequence",2
"gi|1776910895|ref|NR_164632.1| Hydrocarboniclastica marina strain Soil36-7 16S ribosomal RNA, partial sequence",2
"gi|343198875|ref|NR_043933.1| Parapedobacter koreensis strain Jip14 16S ribosomal RNA, partial sequence",2
"gi|636559654|ref|NR_115714.1| Bacillus cereus strain CCM 2010 16S ribosomal RNA, partial sequence",2
"gi|1441204319|ref|NR_157734.1| Bacillus paramycoides strain MCCC 1A04098 16S ribosomal RNA, partial sequence",2
"gi|1441204314|ref|NR_157729.1| Bacillus albus strain MCCC 1A02146 16S ribosomal RNA, partial sequence >gi|1441204315|ref|NR_157730.1| Bacillus luti strain MCCC 1A00359 16S ribosomal RNA, partial sequence >gi|1441204317|ref|NR_157732.1| Bacillus nitratireducens strain MCCC 1A00732 16S ribosomal RNA, partial sequence >gi|1441204321|ref|NR_157736.1| Bacillus tropicus strain MCCC 1A01406 16S ribosomal RNA, partial sequence",2
"gi|1013172428|ref|NR_135895.1| Sphingobium phenoxybenzoativorans strain SC_3 16S ribosomal RNA, partial sequence",2
"gi|1315204023|ref|NR_152692.1| Bacillus wiedmannii strain FSL W8-0169 16S ribosomal RNA, partial sequence",2
"gi|1441204320|ref|NR_157735.1| Bacillus proteolyticus strain MCCC 1A00365 16S ribosomal RNA, partial sequence",2
"gi|2221405506|ref|NR_175555.1| Bacillus sanguinis strain BML-BC004 16S ribosomal RNA, partial sequence",2
"gi|959495034|ref|NR_133882.1| Thermotunica guangxiensis strain AG2-7 16S ribosomal RNA, partial sequence",2
"gi|659364953|ref|NR_121761.1| Bacillus toyonensis strain BCT-7112 16S ribosomal RNA, partial sequence",2
"gi|566085058|ref|NR_108681.1| Tessaracoccus oleiagri strain SL014B-20A1 16S ribosomal RNA, partial sequence",2
"gi|2363083771|ref|NR_180133.1| Tessaracoccus antarcticus strain JDX10 16S ribosomal RNA, partial sequence",2
"gi|2363082833|ref|NR_179665.1| Tessaracoccus timonensis strain Marseille-P5995 16S ribosomal RNA, partial sequence",2
"gi|2621112331|ref|NR_189234.1| Scleromatobacter humisilvae strain BS-T2-15 16S ribosomal RNA, partial sequence",2
"gi|1441204241|ref|NR_157656.1| Roseateles oligotrophus strain KCTC 42519 16S ribosomal RNA, partial sequence",2
"gi|2136551510|ref|NR_173513.1| Niveitalea solisilvae strain 6-4 16S ribosomal RNA, partial sequence",2
"gi|631251579|ref|NR_112776.1| Rhodovastum atsumiense strain G2-11 16S ribosomal RNA, partial sequence",2
"gi|2363081987|ref|NR_179240.1| Segatella cerevisiae strain JCM 30867 16S ribosomal RNA, partial sequence",2
"gi|631252029|ref|NR_113227.1| Xylanibacter oryzae DSM 17970 strain JCM 13648 16S ribosomal RNA, partial sequence",2
"gi|343198997|ref|NR_044274.1| Massilia brevitalea strain byr23-80 16S ribosomal RNA, partial sequence",2
"gi|2363085613|ref|NR_181059.1| Telluria aromaticivorans strain ML15P13 16S ribosomal RNA, partial sequence",2
"gi|2363081415|ref|NR_178954.1| Massilia neuiana strain PTW21 16S ribosomal RNA, partial sequence",2
"gi|636560783|ref|NR_116843.1| Microbacterium pseudoresistens strain CC-005209 16S ribosomal RNA, partial sequence",2
"gi|310974907|ref|NR_036769.1| Glutamicibacter creatinolyticus strain GIFU 12498 16S ribosomal RNA, partial sequence",2
"gi|1269235649|ref|NR_145956.2| Sphingomonas hengshuiensis strain WHSC-8 16S ribosomal RNA, complete sequence",2
"gi|1033657143|ref|NR_137233.1| Sphingomonas psychrolutea strain MDB1-A 16S ribosomal RNA, partial sequence",2
"gi|1384992381|ref|NR_156157.1| Luteolibacter flavescens strain GKX 16S ribosomal RNA, partial sequence",2
"gi|636559179|ref|NR_115236.1| Elizabethkingia meningoseptica strain LMG 12279 16S ribosomal RNA, partial sequence",2
"gi|1909404477|ref|NR_170532.1| Duganella alba strain FT9W 16S ribosomal RNA, partial sequence",2
"gi|343198451|ref|NR_041884.1| Cellvibrio mixtus strain ACM 2601 16S ribosomal RNA, partial sequence",2
"gi|1441204340|ref|NR_157755.1| Cellvibrio fontiphilus strain MVW-40 16S ribosomal RNA, partial sequence",2
"gi|672238894|ref|NR_125482.1| Cellvibrio vulgaris strain NCIMB 8633 16S ribosomal RNA, partial sequence",2
"gi|219846313|ref|NR_025903.1| Gemella haemolysans strain ATCC 25563 16S ribosomal RNA, partial sequence",2
"gi|219846314|ref|NR_025904.1| Gemella morbillorum strain 2917B 16S ribosomal RNA, partial sequence",2
"gi|219846827|ref|NR_026419.1| Gemella sanguinis strain 2045-94 16S ribosomal RNA, partial sequence",2
"gi|2363084842|ref|NR_180669.1| Lactococcus protaetiae strain KACC 19320 16S ribosomal RNA, complete sequence",2
"gi|961555153|ref|NR_134122.1| Paracoccus sediminis strain CMB17 16S ribosomal RNA, partial sequence",2
"gi|1024974868|ref|NR_136837.1| Delftia deserti strain YIM Y792 16S ribosomal RNA, partial sequence",2
"gi|2363082392|ref|NR_179443.1| Peptoniphilus raoultii strain KHD4 16S ribosomal RNA, partial sequence",2
"gi|2180566473|ref|NR_174313.1| Bifidobacterium cebidarum strain CCUG 73785 16S ribosomal RNA, partial sequence",2
"gi|1953646535|ref|NR_171421.1| Pelagerythrobacter aerophilus strain Ery1 16S ribosomal RNA, partial sequence",2
"gi|343200102|ref|NR_040789.1| Enterococcus faecalis strain JCM 5803 16S ribosomal RNA, partial sequence",2
"gi|636558725|ref|NR_114782.1| Enterococcus faecalis strain LMG 7937 16S ribosomal RNA, partial sequence",2
"gi|631252703|ref|NR_113901.1| Enterococcus faecalis strain NBRC 100480 16S ribosomal RNA, partial sequence >gi|631252704|ref|NR_113902.1| Enterococcus faecalis strain NBRC 100481 16S ribosomal RNA, partial sequence",2
"gi|1270533061|ref|NR_044583.2| Kosmotoga olearia TBF 19.5.1 16S ribosomal RNA, complete sequence",2
"gi|444439397|ref|NR_074712.1| Kosmotoga olearia TBF 19.5.1 16S ribosomal RNA, partial sequence",2
"gi|485099066|ref|NR_102463.1| Oscillatoria acuminata PCC 6304 16S ribosomal RNA, partial sequence",2
"gi|1397641801|ref|NR_156910.1| Dubosiella newyorkensis strain NYU-BL-A4 16S ribosomal RNA, partial sequence",2
"gi|645322662|ref|NR_119358.1| Acinetobacter baumannii strain ATCC 19606 16S ribosomal RNA, partial sequence",2
"gi|2363081106|ref|NR_178796.1| Psychromicrobium lacuslunae strain IHBB 11108 16S ribosomal RNA, partial sequence",2
"gi|1384992283|ref|NR_156032.1| Streptomyces capparidis strain EGI 6500195 16S ribosomal RNA, partial sequence",2
"gi|1441204268|ref|NR_157683.1| Muricoccus aeriglobus strain KER25-12 16S ribosomal RNA, partial sequence",2
"gi|1441204353|ref|NR_157768.1| Paracoccus mangrovi strain gyp-1 16S ribosomal RNA, partial sequence",2
"gi|1779814925|ref|NR_164999.1| Acidimangrovimonas sediminis strain MS2-2 16S ribosomal RNA, partial sequence",2
"gi|2363083745|ref|NR_180120.1| Paracoccus endophyticus strain SYSUP0003 16S ribosomal RNA, partial sequence",2
"gi|1779814811|ref|NR_164886.1| Deinococcus petrolearius strain 6.1 16S ribosomal RNA, partial sequence",2
"gi|1779814884|ref|NR_164959.1| Janibacter massiliensis strain Marseille-P4121 16S ribosomal RNA, partial sequence",2
"gi|1246951763|ref|NR_149767.1| Polaromonas eurypsychrophila strain B717-2 16S ribosomal RNA, partial sequence",2
"gi|343204900|ref|NR_043832.1| Streptomyces nigrescens strain NRRL B-12176 16S ribosomal RNA, partial sequence",2
"gi|343204887|ref|NR_043830.1| Streptomyces mobaraensis strain NRRL B-3729 16S ribosomal RNA, partial sequence",2
"gi|636559098|ref|NR_115155.1| Peptostreptococcus russellii strain RT-10B 16S ribosomal RNA, partial sequence",2
"gi|2363080783|ref|NR_178633.1| Acinetobacter refrigeratoris strain WB1 16S ribosomal RNA, partial sequence",2
"gi|974142165|ref|NR_134685.1| Acinetobacter variabilis strain NIPH 2171 16S ribosomal RNA, partial sequence",2
"gi|1227086164|ref|NR_148643.1| Acinetobacter equi strain 114 16S ribosomal RNA, partial sequence",2
"gi|219846059|ref|NR_025649.1| Pseudoleptotrichia goodfellowii DSM 19756 strain LB57 16S ribosomal RNA, partial sequence",2
"gi|631251962|ref|NR_113160.1| Pseudoleptotrichia goodfellowii strain JCM 16774 16S ribosomal RNA, partial sequence",2
"gi|1270533041|ref|NR_044686.3| Sebaldella termitidis ATCC 33386 16S ribosomal RNA, partial sequence",2
"gi|343202284|ref|NR_042570.1| Aquisalimonas asiatica strain CG12 16S ribosomal RNA, partial sequence",2
"gi|265678626|ref|NR_028931.1| Knoellia sinensis strain HKI 0119 16S ribosomal RNA, partial sequence",2
"gi|343203740|ref|NR_043702.1| Devosia soli strain GH2-10 16S ribosomal RNA, partial sequence",2
"gi|559795273|ref|NR_104864.1| Archangium disciforme strain CMU 1 16S ribosomal RNA, partial sequence",2
"gi|645320382|ref|NR_117600.1| Archangium disciforme strain DSM 52716 16S ribosomal RNA, partial sequence",2
"gi|2363084715|ref|NR_180606.1| Crenobacter intestini strain GY 70310 16S ribosomal RNA, partial sequence",2
"gi|1270541534|ref|NR_103952.2| Spiribacter salinus M19-40 16S ribosomal RNA, partial sequence",2
"gi|1269235725|ref|NR_145955.2| Spiribacter curvatus strain UAH-SP71 16S ribosomal RNA, complete sequence",2
"gi|636558694|ref|NR_114751.1| Stutzerimonas stutzeri strain DSM 5190 16S ribosomal RNA, partial sequence",2
"gi|343201082|ref|NR_041769.1| Bordetella avium strain ATCC 35086 16S ribosomal RNA, partial sequence",2
"gi|559795319|ref|NR_104912.1| Nitrococcus mobilis strain Nb-231 16S ribosomal RNA, partial sequence",2
"gi|343199051|ref|NR_044429.1| Geoalkalibacter subterraneus strain Red1 16S ribosomal RNA, partial sequence",2
"gi|343198986|ref|NR_044254.1| Allohahella antarctica strain IMCC3113 16S ribosomal RNA, partial sequence",2
"gi|2363085209|ref|NR_180853.1| Paramicrobacterium chengjingii strain HY60 16S ribosomal RNA, partial sequence",2
"gi|2363085534|ref|NR_181016.1| Duganella flavida strain FT135W 16S ribosomal RNA, partial sequence",2
"gi|636558953|ref|NR_115010.1| Caldimonas hydrothermale strain HAN-85 16S ribosomal RNA, partial sequence",2
"gi|1040567032|ref|NR_137381.1| Aquabacterium olei strain NHI-1 16S ribosomal RNA, partial sequence",2
"gi|636559893|ref|NR_115953.1| Priestia aryabhattai B8W22 16S ribosomal RNA, partial sequence",2
"gi|645320214|ref|NR_117473.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",2
"gi|636560813|ref|NR_116873.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",2
"gi|343201055|ref|NR_041742.1| Legionella pneumophila subsp. pascullei strain U8W 16S ribosomal RNA, partial sequence",2
"gi|1864207115|ref|NR_169409.1| Rheinheimera riviphila strain KYPC3 16S ribosomal RNA, partial sequence",2
"gi|228719618|ref|NR_027583.1| Thermobispora bispora strain DSM 43833 16S ribosomal RNA, partial sequence",2
"gi|636559021|ref|NR_115078.1| Melittangium lichenicola strain ATCC 25944 16S ribosomal RNA, partial sequence",2
"gi|343203040|ref|NR_043576.1| Geobacter pickeringii strain G13 16S ribosomal RNA, partial sequence",2
"gi|1109168034|ref|NR_144615.1| Longibaculum muris strain MT10-315-CC-1.2-2 16S ribosomal RNA, partial sequence",2
"gi|310974925|ref|NR_036789.1| Fructilactobacillus fructivorans strain KCTC 3543 16S ribosomal RNA, partial sequence",2
"gi|631252620|ref|NR_113818.1| Fructilactobacillus fructivorans strain NBRC 15887 16S ribosomal RNA, partial sequence",2
"gi|631252442|ref|NR_113640.1| Fructilactobacillus fructivorans strain NBRC 13954 16S ribosomal RNA, partial sequence",2
"gi|1240411893|ref|NR_149225.1| Nocardioides rotundus strain GY0594 16S ribosomal RNA, partial sequence",2
"gi|2363081060|ref|NR_178773.1| Nocardioides ginkgobilobae strain SYP-A7303 16S ribosomal RNA, partial sequence",2
"gi|2296162854|ref|NR_177803.1| Dolichospermum brachiatum 16S ribosomal RNA, partial sequence",2
"gi|2363087161|ref|NR_181836.1| Qipengyuania xiapuensis strain 1NDW9 16S ribosomal RNA, partial sequence",2
"gi|1179766711|ref|NR_146661.1| Alteraurantiacibacter buctensis strain M0322 16S ribosomal RNA, partial sequence",2
"gi|1269847379|ref|NR_041740.2| Thermostaphylospora chromogena strain ATCC 43196 16S ribosomal RNA, complete sequence",2
"gi|310975256|ref|NR_037120.1| Rhodopila globiformis strain 7950 16S ribosomal RNA, partial sequence",2
"gi|559795101|ref|NR_104687.1| Blautia hansenii DSM 20583 strain JCM 14655 16S ribosomal RNA, partial sequence",2
"gi|2363086248|ref|NR_181376.1| Alloacidobacterium dinghuense strain 4Y35 16S ribosomal RNA, partial sequence",2
"gi|2363081070|ref|NR_178778.1| Flavisolibacter carri strain TX0651 16S ribosomal RNA, partial sequence",2
"gi|974142166|ref|NR_134686.1| Actinokineospora spheciospongiae strain PAL84 16S ribosomal RNA, partial sequence",2
"gi|2962412215|ref|NR_199409.1| Desulfovibrio falkowii strain 13CB8C 16S ribosomal RNA, partial sequence",2
"gi|559795397|ref|NR_104990.1| Desulfovibrio desulfuricans strain Essex 6 16S ribosomal RNA, partial sequence",2
"gi|636559129|ref|NR_115186.1| Pandoraea pulmonicola strain CCUG 38759 16S ribosomal RNA, partial sequence",2
"gi|2363085159|ref|NR_180828.1| Floccifex porci strain LKV-178-WT-2G 16S ribosomal RNA, partial sequence",2
"gi|343200346|ref|NR_041033.1| Azotobacter nigricans strain IAM 15005 16S ribosomal RNA gene, partial sequence",2
"gi|636559941|ref|NR_116001.1| Cellulosilyticum ruminicola JCM 14822 strain H1 16S ribosomal RNA, partial sequence",2
"gi|1441204190|ref|NR_157602.1| Leuconostoc mesenteroides subsp. jonggajibkimchii strain DRC1506 16S ribosomal RNA, complete sequence",2
"gi|2962412275|ref|NR_199469.1| Leuconostoc koreense strain CBA3628 16S ribosomal RNA, complete sequence",2
"gi|566085038|ref|NR_108611.1| Agrococcus carbonis strain G4 16S ribosomal RNA, partial sequence",2
"gi|219846683|ref|NR_026275.1| Agrococcus jenensis strain DSM 9580 16S ribosomal RNA, partial sequence >gi|636558971|ref|NR_115028.1| Agrococcus jenensis strain DSM 9580 16S ribosomal RNA, partial sequence",2
"gi|636560590|ref|NR_116650.1| Agrococcus terreus strain DNG5 16S ribosomal RNA, partial sequence",2
"gi|1397641748|ref|NR_156857.1| Brevundimonas canariensis strain GTAE24 16S ribosomal RNA, partial sequence",2
"gi|559795198|ref|NR_104787.1| Sphaerotilus natans subsp. natans DSM 6575 16S ribosomal RNA, partial sequence",2
"gi|645319662|ref|NR_117037.1| Oceanibacterium hippocampi strain BFLP-8 16S ribosomal RNA, partial sequence",2
"gi|2363085738|ref|NR_181121.1| Kushneria phosphatilytica strain YCWA18 16S ribosomal RNA, partial sequence",2
"gi|265679021|ref|NR_029329.1| Herbaspirillum seropedicae strain Z67 16S ribosomal RNA, partial sequence",2
"gi|659364491|ref|NR_121691.1| Patulibacter medicamentivorans strain I11 16S ribosomal RNA, partial sequence",2
"gi|1277396375|ref|NR_152088.1| Paraburkholderia caffeinilytica strain CF1 16S ribosomal RNA, partial sequence",2
"gi|343200816|ref|NR_041503.1| Olivibacter soli strain Gsoil 034 16S ribosomal RNA, partial sequence",2
"gi|2363081590|ref|NR_179041.1| Pannonibacter carbonis strain Q4.6 16S ribosomal RNA, partial sequence",2
"gi|253680761|ref|NR_028009.1| Pannonibacter phragmitetus strain C6-19 16S ribosomal RNA, partial sequence",2
"gi|2363082587|ref|NR_179540.1| Streptococcus timonensis strain Marseille-P2915 16S ribosomal RNA, partial sequence",2
"gi|2363083792|ref|NR_180144.1| Pelagerythrobacter rhizovicinus strain AY-3R 16S ribosomal RNA, partial sequence",2
"gi|343206013|ref|NR_044562.1| Pseudonocardia xinjiangensis strain XJ 45 16S ribosomal RNA, partial sequence",2
"gi|343200634|ref|NR_041321.1| Legionella impletisoli strain OA1-1 16S ribosomal RNA, partial sequence",2
"gi|343201642|ref|NR_042368.1| Modestobacter versicolor strain CP153-2 16S ribosomal RNA, partial sequence",2
"gi|566085283|ref|NR_109170.1| Allosphingosinicella indica strain Dd16 16S ribosomal RNA, partial sequence",2
"gi|310974981|ref|NR_036845.1| Streptococcus ferus strain 8S1 16S ribosomal RNA, partial sequence",2
"gi|265678618|ref|NR_028923.1| Methylocapsa acidiphila strain B2 16S ribosomal RNA, partial sequence",2
"gi|631252007|ref|NR_113205.1| Desulfomicrobium orale strain JCM 17150 16S ribosomal RNA, partial sequence",2
"gi|672239116|ref|NR_125705.1| Aggregicoccus edonensis strain MCy1366 16S ribosomal RNA, partial sequence",1
"gi|636559274|ref|NR_115331.1| Mycolicibacterium moriokaense strain CIP 105393 16S ribosomal RNA, partial sequence",1
"gi|636559273|ref|NR_115330.1| Mycobacterium barrassiae strain CIP 108545 16S ribosomal RNA, partial sequence",1
"gi|1018196613|ref|NR_136492.1| Mycolicibacterium anyangense strain QIA-38 16S ribosomal RNA, partial sequence",1
"gi|961555118|ref|NR_134086.1| Microbacterium kyungheense strain THG-C26 16S ribosomal RNA, partial sequence",1
"gi|485099072|ref|NR_102469.1| Phormidium nigroviride strain PCC 7112 16S ribosomal RNA, partial sequence",1
"gi|631250971|ref|NR_112168.1| Phormidium nigroviride strain PCC 7112 16S ribosomal RNA, partial sequence",1
"gi|2072685567|ref|NR_172606.1| Microcoleus anatoxicus strain PTRS2 16S ribosomal RNA, partial sequence",1
"gi|343201652|ref|NR_042378.1| Roseibium album strain 5OM6 16S ribosomal RNA, partial sequence",1
"gi|566085248|ref|NR_109076.1| Eilatimonas milleporae strain MD2 16S ribosomal RNA, partial sequence",1
"gi|2836274946|ref|NR_197709.1| Methylobacterium amylolyticum strain NEAU-140 16S ribosomal RNA, partial sequence",1
"gi|343200755|ref|NR_041442.1| Methylobacterium persicinum strain 002-165 16S ribosomal RNA, partial sequence",1
"gi|343202801|ref|NR_043276.1| Pseudoxanthomonas suwonensis strain 4M1 16S ribosomal RNA, partial sequence",1
"gi|343202596|ref|NR_042972.1| Pseudoxanthomonas koreensis strain T7-09 16S ribosomal RNA, partial sequence",1
"gi|444439476|ref|NR_074791.1| Nitrosococcus watsonii strain C-113 16S ribosomal RNA, partial sequence",1
"gi|659364762|ref|NR_121730.1| Legionella oakridgensis strain OR-10 16S ribosomal RNA, partial sequence",1
"gi|444303907|ref|NR_074330.1| Nitrosococcus oceani strain ATCC 19707 16S ribosomal RNA, partial sequence",1
"gi|631251023|ref|NR_112220.1| Beijerinckia mobilis strain ATCC 35011 16S ribosomal RNA, partial sequence",1
"gi|672238877|ref|NR_125465.1| Methyloceanibacter caenitepidi strain Gela4 16S ribosomal RNA, partial sequence",1
"gi|1445265788|ref|NR_158153.1| Aestuariicoccus marinus strain NAP41 16S ribosomal RNA, partial sequence",1
"gi|2621112287|ref|NR_189190.1| Thetidibacter halocola strain KMU-90 16S ribosomal RNA, partial sequence",1
"gi|631251844|ref|NR_113042.1| Zuelzera stenostrepta strain JCM 16534 16S ribosomal RNA, partial sequence",1
"gi|1199303404|ref|NR_147755.1| Novosphingobium oryzae strain ZYY112 16S ribosomal RNA, partial sequence",1
"gi|343202376|ref|NR_042662.1| Singulisphaera acidiphila DSM 18658 strain MOB10 16S ribosomal RNA, partial sequence",1
"gi|444303956|ref|NR_074379.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",1
"gi|444303814|ref|NR_074236.1| Herpetosiphon aurantiacus 16S ribosomal RNA, partial sequence",1
"gi|645321188|ref|NR_118215.1| Pseudoduganella namucuonensis strain 333-1-0411 16S ribosomal RNA, partial sequence",1
"gi|636558381|ref|NR_114437.1| Sulfobacillus acidophilus DSM 10332 strain NAL 16S ribosomal RNA, partial sequence",1
"gi|219857609|ref|NR_025198.1| Pseudoxanthomonas taiwanensis strain CB-226 16S ribosomal RNA, partial sequence",1
"gi|631252776|ref|NR_113974.1| Pseudoxanthomonas taiwanensis strain NBRC 101072 16S ribosomal RNA, partial sequence",1
"gi|310974989|ref|NR_036853.1| Bifidobacterium angulatum strain B677 16S ribosomal RNA, partial sequence",1
"gi|636560224|ref|NR_116284.1| Brachymonas chironomi strain AIMA4 16S ribosomal RNA, partial sequence",1
"gi|566085617|ref|NR_109692.1| Luteimonas huabeiensis HB2 16S ribosomal RNA, partial sequence",1
"gi|2962412342|ref|NR_199537.1| Stenotrophomonas forensis strain DFS-20110405 16S ribosomal RNA, complete sequence",1
"gi|343205960|ref|NR_044475.1| Leucobacter chironomi strain MM2LB 16S ribosomal RNA, partial sequence",1
"gi|2363086550|ref|NR_181532.1| Bacteroides humanifaecis strain KGMB07931 16S ribosomal RNA, partial sequence",1
"gi|2962412344|ref|NR_199539.1| Streptacidiphilus cavernicola strain N8-3 16S ribosomal RNA, partial sequence",1
"gi|343200653|ref|NR_041340.1| Oscillibacter valericigenes strain Sjm18-20 16S ribosomal RNA, partial sequence",1
"gi|636559281|ref|NR_115338.1| Desulfofundulus salinus strain 435 16S ribosomal RNA, partial sequence",1
"gi|310974982|ref|NR_036846.1| Desulfofundulus solfataricus strain V21 16S ribosomal RNA, partial sequence",1
"gi|219846649|ref|NR_026241.1| Brevibacterium iodinum strain DSM 20626 16S ribosomal RNA, partial sequence",1
"gi|2180566504|ref|NR_174342.1| Brevibacterium profundi strain O1 16S ribosomal RNA, partial sequence",1
"gi|219846584|ref|NR_026176.1| Actinotalea fermentans ATCC 43279 = JCM 9966 = DSM 3133 16S ribosomal RNA, partial sequence",1
"gi|343200824|ref|NR_041511.1| Cellulomonas chitinilytica JCM 16927 strain X.bu-b 16S ribosomal RNA, partial sequence",1
"gi|961555256|ref|NR_134225.1| Variibacter gotjawalensis strain GJW-30 16S ribosomal RNA, partial sequence",1
"gi|1116030266|ref|NR_144724.1| Desnuesiella massiliensis strain mt10 16S ribosomal RNA, partial sequence",1
"gi|636559633|ref|NR_115693.1| Gracilibacter thermotolerans JW/YJL-S1 16S ribosomal RNA, partial sequence",1
"gi|636559632|ref|NR_115692.1| Gracilibacter thermotolerans JW/YJL-S1 16S ribosomal RNA, partial sequence",1
"gi|343202422|ref|NR_042708.1| Microbacterium invictum strain DC-200 16S ribosomal RNA, partial sequence",1
"gi|2180566461|ref|NR_174303.1| Luteithermobacter gelatinilyticus strain MEBiC09520 16S ribosomal RNA, complete sequence",1
"gi|1384992338|ref|NR_156087.1| Aliidongia dinghuensis strain 7M-Z19 16S ribosomal RNA, partial sequence",1
"gi|645321375|ref|NR_118356.1| Caldisericum exile strain AZM16c01 16S ribosomal RNA, partial sequence",1
"gi|1277396274|ref|NR_151985.1| Chryseomicrobium palamuruense strain PU1 16S ribosomal RNA, partial sequence",1
"gi|566084911|ref|NR_108459.1| Chryseomicrobium amylolyticum strain JC16 16S ribosomal RNA, partial sequence",1
"gi|961555036|ref|NR_134003.1| Chryseomicrobium aureum strain BUT-2 16S ribosomal RNA, partial sequence",1
"gi|1011034834|ref|NR_135725.1| Ectopseudomonas guguanensis strain CC-G9A 16S ribosomal RNA, partial sequence",1
"gi|1864207203|ref|NR_169498.1| Acinetobacter pullicarnis strain S23 16S ribosomal RNA, complete sequence",1
"gi|2180566415|ref|NR_174271.1| Leucothrix sargassi strain C3212 16S ribosomal RNA, partial sequence",1
"gi|1269860153|ref|NR_029161.2| Comamonas testosteroni strain KS 0043 16S ribosomal RNA, complete sequence",1
"gi|631252511|ref|NR_113709.1| Comamonas testosteroni strain NBRC 14951 16S ribosomal RNA, partial sequence",1
"gi|2363085629|ref|NR_181067.1| Paenibacillus rhizovicinus strain 14171R-81 16S ribosomal RNA, complete sequence",1
"gi|636559286|ref|NR_115343.1| Paracoccus ferrooxidans strain BDN-1 16S ribosomal RNA, partial sequence",1
"gi|645320257|ref|NR_117506.1| Bifidobacterium longum strain KCTC 3128 16S ribosomal RNA, partial sequence",1
"gi|1953646487|ref|NR_171391.1| Blautia argi strain KCTC 15426 16S ribosomal RNA, complete sequence",1
"gi|219857125|ref|NR_024753.1| Alicyclobacillus herbarius strain CP-1 16S ribosomal RNA, partial sequence",1
"gi|343200783|ref|NR_041470.1| Alicyclobacillus sacchari strain RB718 16S ribosomal RNA, partial sequence",1
"gi|265678897|ref|NR_029205.1| Pseudothermotoga hypogea strain SEBR 7054 16S ribosomal RNA, partial sequence",1
"gi|343201707|ref|NR_042433.1| Asticcacaulis benevestitus strain Z-0023 16S ribosomal RNA, partial sequence",1
"gi|343202575|ref|NR_042933.1| Asticcacaulis taihuensis strain T3-B7 16S ribosomal RNA, partial sequence",1
"gi|310974902|ref|NR_036764.1| Desulfovirga adipica strain TsuA1 16S ribosomal RNA gene, partial sequence",1
"gi|343202418|ref|NR_042704.1| Solidesulfovibrio marrakechensis strain EMSSDQ4 16S ribosomal RNA, partial sequence",1
"gi|959494942|ref|NR_133803.1| Ottowia beijingensis strain GCS-AN-3 16S ribosomal RNA, partial sequence",1
"gi|672239067|ref|NR_125656.1| Ottowia shaoguanensis strain J5-66 16S ribosomal RNA, partial sequence",1
"gi|2363087163|ref|NR_181837.1| Ottowia caeni strain BD-1 16S ribosomal RNA, partial sequence",1
"gi|2621112296|ref|NR_189199.1| Maliibacterium massiliense strain Marseille-P3954 16S ribosomal RNA, partial sequence",1
"gi|2363083674|ref|NR_180085.1| Clostridium bovifaecis strain BXX 16S ribosomal RNA, partial sequence",1
"gi|2363081381|ref|NR_178935.1| Streptomyces salilacus strain TRM41337 16S ribosomal RNA, partial sequence",1
"gi|1864207028|ref|NR_169322.1| Nocardioides jejuensis strain 18JY15-6 16S ribosomal RNA, partial sequence",1
"gi|1277396319|ref|NR_152030.1| Yimella radicis strain py1292 16S ribosomal RNA, partial sequence",1
"gi|1679775897|ref|NR_163619.1| Marmoricola silvestris strain S20-100 16S ribosomal RNA, partial sequence",1
"gi|343199046|ref|NR_044404.1| Mucilaginibacter oryzae strain B9 16S ribosomal RNA, partial sequence",1
"gi|1441204307|ref|NR_157722.1| Mucilaginibacter craterilacus strain N60A 16S ribosomal RNA, partial sequence",1
"gi|2363080731|ref|NR_178607.1| Rufibacter radiotolerans strain DG31D 16S ribosomal RNA, partial sequence",1
"gi|1864207085|ref|NR_169379.1| Rufibacter soli strain FJY1 16S ribosomal RNA, partial sequence",1
"gi|1441204311|ref|NR_157726.1| Adhaeribacter terrae strain HY02 16S ribosomal RNA, partial sequence",1
"gi|1270532282|ref|NR_025869.2| Streptomyces eurythermus strain ATCC 14975 16S ribosomal RNA, complete sequence",1
"gi|1445135945|ref|NR_157984.1| Caulobacter hibisci strain THG-AG3.4 16S ribosomal RNA, partial sequence",1
"gi|631253014|ref|NR_114212.1| Halpernia marina strain NBRC 103143 16S ribosomal RNA, partial sequence",1
"gi|631251980|ref|NR_113178.1| Paraburkholderia bannensis NBRC 103871 strain E25 16S ribosomal RNA, partial sequence",1
"gi|507148044|ref|NR_102851.1| Cupriavidus necator strain N-1 16S ribosomal RNA, partial sequence",1
"gi|343200249|ref|NR_040936.1| Rhodoplanes serenus strain TUT3530 16S ribosomal RNA, partial sequence",1
"gi|1230874628|ref|NR_148788.1| Mobilisporobacter senegalensis strain Gal1 16S ribosomal RNA, partial sequence",1
"gi|444439707|ref|NR_075022.1| Enterococcus hirae ATCC 9790 16S ribosomal RNA, partial sequence",1
"gi|636558685|ref|NR_114742.1| Enterococcus faecium strain DSM 20477 16S ribosomal RNA, partial sequence",1
