organism,count
"gi|636560714|ref|NR_116774.1| Acinetobacter pittii DSM 21653 strain CIP 70.29 16S ribosomal RNA, partial sequence",2
"gi|2363083943|ref|NR_180220.1| Boseongicola sediminum strain TAW-CT132 16S ribosomal RNA, partial sequence",2
"gi|2363083715|ref|NR_180105.1| Modestobacter excelsi strain 1G6 16S ribosomal RNA, complete sequence",2
"gi|343205928|ref|NR_044426.1| Pseudohaliea rubra strain CM41_15a 16S ribosomal RNA, partial sequence",2
"gi|1445135942|ref|NR_157981.1| Novosphingobium clariflavum strain CICC11035s 16S ribosomal RNA, partial sequence",2
"gi|2363080904|ref|NR_178695.1| Pseudobacteriovorax antillogorgiicola strain RKEM611 16S ribosomal RNA, partial sequence",2
"gi|2363081154|ref|NR_178820.1| Acetobacter oryzifermentans strain SLV-7 16S ribosomal RNA, partial sequence",2
"gi|2363084280|ref|NR_180390.1| Acetobacter oryzoeni strain B6 16S ribosomal RNA, partial sequence",2
"gi|645322664|ref|NR_119360.1| Acinetobacter junii strain Mannheim 2723/59 16S ribosomal RNA, partial sequence",2
"gi|1277396376|ref|NR_152089.1| Spiribacter roseus strain SSL50 16S ribosomal RNA, complete sequence",2
"gi|2260349452|ref|NR_176534.1| Pulveribacter suum strain SC2-7 16S ribosomal RNA, partial sequence",2
"gi|2363086848|ref|NR_181681.1| Williamsia soli strain C17 16S ribosomal RNA, partial sequence",2
"gi|444303872|ref|NR_074294.1| Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence",2
"gi|343202365|ref|NR_042651.1| Rivibacter subsaxonicus strain BF49 16S ribosomal RNA, partial sequence",2
"gi|2363084593|ref|NR_180545.1| Ornithinicoccus soli strain XNB-1 16S ribosomal RNA, partial sequence",2
"gi|343198426|ref|NR_041797.1| Alkalimonas amylolytica strain N10 16S ribosomal RNA, partial sequence",2
"gi|343206287|ref|NR_044879.1| Alkalimonas delamerensis strain 1E1 16S ribosomal RNA, partial sequence",2
"gi|566085148|ref|NR_108882.1| Geodermatophilus africanus strain CF 11/1 16S ribosomal RNA, partial sequence",2
"gi|444304106|ref|NR_074530.1| Geodermatophilus obscurus DSM 43160 16S ribosomal RNA, partial sequence",2
"gi|1864207120|ref|NR_169414.1| Blastococcus deserti strain SYSU D8006 16S ribosomal RNA, partial sequence",2
"gi|219856851|ref|NR_024670.1| Mammaliicoccus vitulinus strain ATCC 51145 16S ribosomal RNA, partial sequence",2
"gi|645319919|ref|NR_117252.1| Mammaliicoccus stepanovicii strain 196 16S ribosomal RNA, partial sequence",2
"gi|470466077|ref|NR_074103.1| Azospira oryzae PS 16S ribosomal RNA, partial sequence",2
"gi|631253197|ref|NR_114395.1| Schaalia odontolytica strain JCM 14871 16S ribosomal RNA, partial sequence",2
"gi|265678978|ref|NR_029286.1| Schaalia meyeri strain Prevot 2477B 16S ribosomal RNA, partial sequence",2
"gi|444304180|ref|NR_074604.1| Oceanithermus profundus strain DSM 14977 16S ribosomal RNA, partial sequence",2
"gi|2180566414|ref|NR_174270.1| Ochrobactrum teleogrylli strain LCB8 16S ribosomal RNA, partial sequence",2
"gi|219857155|ref|NR_024783.1| Arthrobacter russicus strain A1-3 16S ribosomal RNA, partial sequence",2
"gi|343201086|ref|NR_041773.1| Renibacterium salmoninarum strain ATCC 33209 16S ribosomal RNA, partial sequence >gi|470467876|ref|NR_074198.1| Renibacterium salmoninarum 16S ribosomal RNA, partial sequence",2
"gi|636558694|ref|NR_114751.1| Stutzerimonas stutzeri strain DSM 5190 16S ribosomal RNA, partial sequence",2
"gi|2363084136|ref|NR_180317.1| Listeria costaricensis strain CLIP 2016/00682 16S ribosomal RNA, partial sequence",2
"gi|343201712|ref|NR_042438.1| Latilactobacillus graminis strain G90 (1) 16S ribosomal RNA, partial sequence",2
"gi|1109167956|ref|NR_144576.1| Ampullimonas aquatilis strain B15.09-116 16S ribosomal RNA, partial sequence",2
"gi|444303841|ref|NR_074263.1| Chloroflexus aurantiacus J-10-fl 16S ribosomal RNA, partial sequence",2
"gi|2363082918|ref|NR_179707.1| Halopseudomonas phragmitis strain S-6-2 16S ribosomal RNA, partial sequence",2
"gi|343198698|ref|NR_043314.1| Pseudomonas moraviensis strain 1B4 16S ribosomal RNA, partial sequence",2
"gi|1441204295|ref|NR_157710.1| Pseudonocardia nigra strain ATK03 16S ribosomal RNA, partial sequence",2
"gi|631251615|ref|NR_112813.1| Dactylosporangium tropicum strain KB2-4 16S ribosomal RNA, partial sequence",2
"gi|1953646652|ref|NR_171480.1| Lysobacter silvisoli strain zong2l5 16S ribosomal RNA, partial sequence",2
"gi|559795197|ref|NR_104786.1| Pelobacter massiliensis strain HHQ7 16S ribosomal RNA, partial sequence",2
"gi|343198734|ref|NR_043540.1| Polaromonas hydrogenivorans strain DSM 17735 16S ribosomal RNA, partial sequence",2
"gi|343200104|ref|NR_040791.1| Prosthecomicrobium pneumaticum strain 3a 16S ribosomal RNA, partial sequence",2
"gi|343200346|ref|NR_041033.1| Azotobacter nigricans strain IAM 15005 16S ribosomal RNA gene, partial sequence",2
"gi|2363080187|ref|NR_178317.1| Vreelandella olivaria strain TYRC17 16S ribosomal RNA, partial sequence",2
"gi|343201558|ref|NR_042284.1| Staphylococcus pseudintermedius strain ON 86 16S ribosomal RNA, partial sequence",2
"gi|2296162741|ref|NR_177688.1| Gloeothece tonkinensis 16S ribosomal RNA, partial sequence",2
"gi|631250917|ref|NR_112114.1| Roseiflexus castenholzii DSM 13941 strain HLO8 16S ribosomal RNA, partial sequence",2
"gi|219846383|ref|NR_025974.1| Geobacter hydrogenophilus strain H2 16S ribosomal RNA, partial sequence",2
"gi|1864207050|ref|NR_169344.1| Caldimonas meghalayensis strain AK31 16S ribosomal RNA, partial sequence",2
"gi|2363080615|ref|NR_178549.1| Microbacterium gorillae strain G3 16S ribosomal RNA, partial sequence",2
"gi|1269785499|ref|NR_116360.2| Bradyrhizobium cytisi strain CTAW11 16S ribosomal RNA, complete sequence",2
"gi|343202650|ref|NR_043036.1| Bradyrhizobium jicamae strain PAC68 16S ribosomal RNA, partial sequence",2
"gi|2363082465|ref|NR_179479.1| Paludisphaera soli strain JC670 16S ribosomal RNA, complete sequence",2
"gi|645319615|ref|NR_117002.1| Microaerobacter geothermalis strain Nad S1 16S ribosomal RNA, partial sequence",2
"gi|1864207042|ref|NR_169336.1| Lichenibacterium minor strain KCTC 72077 16S ribosomal RNA, partial sequence",2
"gi|219878176|ref|NR_025315.1| Chromatium okenii strain DSM 169 16S ribosomal RNA, partial sequence",2
"gi|343206013|ref|NR_044562.1| Pseudonocardia xinjiangensis strain XJ 45 16S ribosomal RNA, partial sequence",2
"gi|2363084942|ref|NR_180719.1| Pelomicrobium methylotrophicum strain SM250 16S ribosomal RNA, partial sequence",2
"gi|2136551525|ref|NR_173528.1| Aromatoleum aromaticum strain pCyN1 16S ribosomal RNA, partial sequence",2
"gi|2136551524|ref|NR_173527.1| Aromatoleum aromaticum EbN1 16S ribosomal RNA, partial sequence",2
"gi|2363083794|ref|NR_180145.1| Lujinxingia vulgaris strain TMQ4 16S ribosomal RNA, partial sequence",2
"gi|343203040|ref|NR_043576.1| Geobacter pickeringii strain G13 16S ribosomal RNA, partial sequence",2
"gi|2363085911|ref|NR_181208.1| Pelagibius marinus strain NBU2595 16S ribosomal RNA, partial sequence",2
"gi|343201468|ref|NR_042194.1| Companilactobacillus tucceti strain CECT 5920 16S ribosomal RNA, partial sequence",2
"gi|566085056|ref|NR_108679.1| Algoriphagus faecimaris strain LYX05 16S ribosomal RNA, partial sequence",2
"gi|219857214|ref|NR_024842.1| Streptococcus parasanguinis ATCC 15912 16S ribosomal RNA, partial sequence",2
"gi|636559184|ref|NR_115241.1| Streptococcus parasanguinis ATCC 15912 16S ribosomal RNA, partial sequence",2
"gi|343200265|ref|NR_040952.1| Rhodanobacter fulvus Jip2 16S ribosomal RNA, partial sequence",2
"gi|507148044|ref|NR_102851.1| Cupriavidus necator strain N-1 16S ribosomal RNA, partial sequence",2
"gi|1909404375|ref|NR_170428.1| Ectopseudomonas hydrolytica strain DSWY01 16S ribosomal RNA, partial sequence",2
"gi|636559518|ref|NR_115578.1| Bacillus benzoevorans strain DSM 5391 16S ribosomal RNA, partial sequence",2
"gi|265678717|ref|NR_029022.1| Metabacillus indicus strain Sd/3 16S ribosomal RNA, partial sequence",2
"gi|1277396267|ref|NR_151978.1| Paenibacillus aceti strain L14 16S ribosomal RNA, partial sequence",2
"gi|566085034|ref|NR_108607.1| Plantactinospora endophytica strain YIM 68255 16S ribosomal RNA, partial sequence",2
"gi|1491514501|ref|NR_159163.1| Sphingomonas agri strain HKS-06 16S ribosomal RNA, partial sequence",2
"gi|343202298|ref|NR_042584.1| Mycetohabitans endofungorum strain HKI 456 16S ribosomal RNA, partial sequence",2
"gi|444303876|ref|NR_074298.1| Granulicella mallensis MP5ACTX8 16S ribosomal RNA, partial sequence >gi|645320929|ref|NR_118020.1| Granulicella mallensis MP5ACTX8 16S ribosomal RNA, partial sequence",2
"gi|2363086772|ref|NR_181643.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",2
"gi|1779814935|ref|NR_165009.1| Chakrabartia godavariana strain PRB 40 16S ribosomal RNA, partial sequence",2
"gi|219878380|ref|NR_025519.1| Nocardiopsis halophila DSM 44494 16S ribosomal RNA, partial sequence",2
"gi|444439526|ref|NR_074841.1| Aeromonas hydrophila strain ATCC 7966 16S ribosomal RNA, partial sequence",2
"gi|2180566448|ref|NR_174296.1| Bradyrhizobium australiense strain CNPSO:4014 16S ribosomal RNA, partial sequence",2
"gi|343202834|ref|NR_043319.1| Alistipes shahii WAL 8301 16S ribosomal RNA, partial sequence",2
"gi|631251548|ref|NR_112745.1| Nocardiopsis exhalans strain NBRC 100346 16S ribosomal RNA, partial sequence",2
"gi|219878277|ref|NR_025416.1| Sporomusa malonica strain DSM 5090 16S ribosomal RNA, partial sequence",2
"gi|1909404423|ref|NR_170477.1| Rheinheimera sediminis strain YQF-1 16S ribosomal RNA, partial sequence",2
"gi|1269806089|ref|NR_074784.2| Bacteroides fragilis NCTC 9343 16S ribosomal RNA, complete sequence",2
"gi|631251738|ref|NR_112936.1| Bacteroides fragilis strain JCM 11019 16S ribosomal RNA, partial sequence",2
"gi|1269801610|ref|NR_074793.2| Oscillibacter valericigenes strain Sjm18-20 16S ribosomal RNA, complete sequence",2
"gi|343201491|ref|NR_042217.1| Fictibacillus arsenicus strain Con a/3 16S ribosomal RNA, partial sequence",2
"gi|636560500|ref|NR_116560.1| Polycyclovorans algicola TG408 16S ribosomal RNA, partial sequence",2
"gi|2363086912|ref|NR_181713.1| Brevibacillus composti strain FJAT-54423 16S ribosomal RNA, partial sequence",2
"gi|566085066|ref|NR_108696.1| Lutibacter flavus strain IMCC1507 16S ribosomal RNA, partial sequence",2
"gi|2363086248|ref|NR_181376.1| Alloacidobacterium dinghuense strain 4Y35 16S ribosomal RNA, partial sequence",2
"gi|1491520137|ref|NR_159300.1| Castellaniella fermenti strain CC-YTH191 16S ribosomal RNA, partial sequence",2
"gi|2463901853|ref|NR_184621.1| Pollutimonas subterranea strain JR1/69-3-13 16S ribosomal RNA, partial sequence",2
"gi|343202449|ref|NR_042744.1| Virgibacillus kekensis strain YIM kkny16 16S ribosomal RNA, partial sequence",2
"gi|1270533060|ref|NR_042374.2| Thermotoga petrophila RKU-10 16S ribosomal RNA, complete sequence",2
"gi|559795262|ref|NR_104853.1| Spirillum volutans strain ATCC 19554 16S ribosomal RNA, partial sequence",2
"gi|1445135987|ref|NR_158027.1| Chitinophaga rhizosphaerae strain T16R-86 16S ribosomal RNA, partial sequence",2
"gi|2363085037|ref|NR_180767.1| Chromobacterium paludis strain IIBBL 257-1 16S ribosomal RNA, complete sequence",2
"gi|645320125|ref|NR_117406.1| Stenotrophomonas panacihumi strain MK06 16S ribosomal RNA, partial sequence",2
"gi|343199051|ref|NR_044429.1| Geoalkalibacter subterraneus strain Red1 16S ribosomal RNA, partial sequence",2
"gi|2136551515|ref|NR_173518.1| Suicoccus acidiformans strain ZY16052 16S ribosomal RNA, partial sequence",2
"gi|636560667|ref|NR_116727.1| Listeria rocourtiae strain CIP 109804 16S ribosomal RNA, partial sequence",2
"gi|219846273|ref|NR_025863.1| Abiotrophia defectiva strain GIFU 12707 16S ribosomal RNA, partial sequence",2
"gi|1441204323|ref|NR_157738.1| Chengkuizengella sediminis strain J15A17 16S ribosomal RNA, partial sequence",2
"gi|219878219|ref|NR_025358.1| Thiobacillus denitrificans strain NCIMB 9548 16S ribosomal RNA, partial sequence",2
"gi|2363085732|ref|NR_181118.1| Mangrovibacillus cuniculi strain R1DC41 16S ribosomal RNA, partial sequence",2
"gi|1491509612|ref|NR_159143.1| Gottfriedia solisilvae strain NEAU-cbsb5 16S ribosomal RNA, partial sequence",2
"gi|2621112366|ref|NR_189270.1| Danxiaibacter flavus strain SYSU DXS3180 16S ribosomal RNA, partial sequence",2
"gi|219857388|ref|NR_024976.1| Nostocoides japonicum strain T1-X7 16S ribosomal RNA, partial sequence",2
"gi|636558916|ref|NR_114973.1| Thiocystis cadagnonensis strain Cad448 16S ribosomal RNA, partial sequence",2
"gi|959494842|ref|NR_133720.1| Chitinophaga costaii strain A37T2 16S ribosomal RNA, partial sequence",2
"gi|1909404363|ref|NR_170416.1| Modestobacter altitudinis strain 1G4 16S ribosomal RNA, complete sequence",2
"gi|1146059112|ref|NR_145844.1| Bacteroides caecigallinarum strain C13EG111 16S ribosomal RNA, partial sequence",2
"gi|645320533|ref|NR_117717.1| Neisseria mucosa strain DSM 17611 16S ribosomal RNA, partial sequence",2
"gi|1269860153|ref|NR_029161.2| Comamonas testosteroni strain KS 0043 16S ribosomal RNA, complete sequence",2
"gi|2363084970|ref|NR_180733.1| Comamonas suwonensis strain EJ-4 16S ribosomal RNA, partial sequence",2
"gi|343198568|ref|NR_042905.1| Siminovitchia fortis strain R-6514 16S ribosomal RNA, partial sequence",2
"gi|343200208|ref|NR_040895.1| Aquaspirillum serpens strain IAM 13944 16S ribosomal RNA, partial sequence",1
"gi|2621112317|ref|NR_189220.1| Aridibaculum aurantiacum strain SYSU D00508 16S ribosomal RNA, partial sequence",1
"gi|1269860148|ref|NR_029282.2| Rhodothermus marinus DSM 4252 strain R-10 16S ribosomal RNA, complete sequence",1
"gi|636560702|ref|NR_116762.1| Rhodothermus profundi strain PRI 2902 16S ribosomal RNA, partial sequence",1
"gi|444439413|ref|NR_074728.1| Rhodothermus marinus DSM 4252 16S ribosomal RNA, partial sequence",1
"gi|343200313|ref|NR_041000.1| Pelotomaculum propionicicum strain MGP 16S ribosomal RNA, partial sequence",1
"gi|1179766740|ref|NR_146690.1| Dongia soli strain D78 16S ribosomal RNA, partial sequence",1
"gi|265678417|ref|NR_028719.1| Comamonas terrigena strain IMI 359870 16S ribosomal RNA, partial sequence",1
"gi|1013172390|ref|NR_135857.1| Mesorhizobium erdmanii strain USDA 3471 16S ribosomal RNA, partial sequence",1
"gi|636559224|ref|NR_115281.1| Mesorhizobium australicum WSM2073 16S ribosomal RNA, partial sequence",1
"gi|566085498|ref|NR_109542.1| Chryseobacterium taihuense strain THMBM1 16S ribosomal RNA, partial sequence",1
"gi|2363082216|ref|NR_179355.1| Chryseobacterium lecithinasegens strain PAGU 2197 16S ribosomal RNA, partial sequence",1
"gi|2363086880|ref|NR_181697.1| Chryseobacterium paridis strain YIM B02567 16S ribosomal RNA, partial sequence",1
"gi|645321813|ref|NR_118692.1| Blautia obeum ATCC 29174 16S ribosomal RNA, partial sequence",1
"gi|566084930|ref|NR_108474.1| Methylocystis bryophila strain H2s 16S ribosomal RNA, partial sequence",1
"gi|444304120|ref|NR_074544.1| Xylanimonas cellulosilytica strain DSM 15894 16S ribosomal RNA, partial sequence",1
"gi|265678524|ref|NR_028828.1| Xylanimonas cellulosilytica strain XIL07 16S ribosomal RNA, partial sequence",1
"gi|645320055|ref|NR_117354.1| Caldinitratiruptor microaerophilus strain CA62N 16S ribosomal RNA, partial sequence",1
"gi|566085529|ref|NR_109600.1| Tumebacillus flagellatus strain GST4 16S ribosomal RNA, partial sequence",1
"gi|343199046|ref|NR_044404.1| Mucilaginibacter oryzae strain B9 16S ribosomal RNA, partial sequence",1
"gi|959494928|ref|NR_133791.1| Mucilaginibacter polytrichastri strain RG4-7 16S ribosomal RNA, partial sequence",1
"gi|1864207103|ref|NR_169397.1| Mucilaginibacter hurinus strain ZR32 16S ribosomal RNA, partial sequence",1
"gi|631251832|ref|NR_113030.1| Actinomyces viscosus strain JCM 8353 16S ribosomal RNA, partial sequence",1
"gi|219846636|ref|NR_026228.1| Actinomyces viscosus strain NCTC 10951 16S ribosomal RNA, partial sequence",1
"gi|566084932|ref|NR_108476.1| Actinomyces weissii strain 2298 16S ribosomal RNA, partial sequence",1
"gi|645320060|ref|NR_117358.1| Actinomyces oris strain ATCC 27044 16S ribosomal RNA, partial sequence",1
"gi|1491516034|ref|NR_159232.1| Tuwongella immobilis strain MBLW1 16S ribosomal RNA, partial sequence",1
"gi|2363086733|ref|NR_181623.1| Gemmata palustris strain G18 16S ribosomal RNA, partial sequence",1
"gi|1384992341|ref|NR_156090.1| Motilimonas eburnea strain YH6 16S ribosomal RNA, partial sequence",1
"gi|1146059133|ref|NR_145865.1| Sphingomonas fonticola strain TNR-2 16S ribosomal RNA, partial sequence",1
"gi|265678846|ref|NR_029151.1| Caldibacillus thermoamylovorans strain DKP 16S ribosomal RNA, partial sequence",1
"gi|645319650|ref|NR_117028.1| Caldibacillus thermoamylovorans strain LMG 18084 16S ribosomal RNA, partial sequence",1
"gi|1109167960|ref|NR_144578.1| Caldifermentibacillus hisashii strain N-11 16S ribosomal RNA, partial sequence",1
"gi|636558558|ref|NR_114615.1| Nordella oligomobilis strain N21 16S ribosomal RNA, partial sequence",1
"gi|343206041|ref|NR_044611.1| Methylovirgula ligni strain BW863 16S ribosomal RNA, partial sequence",1
"gi|1277396361|ref|NR_152074.1| Shinella curvata strain C3 16S ribosomal RNA, partial sequence",1
"gi|1033657151|ref|NR_137241.1| Rhizobium bangladeshense strain BLR175 16S ribosomal RNA, partial sequence >gi|1033657152|ref|NR_137242.1| Rhizobium binae strain BLR195 16S ribosomal RNA, partial sequence",1
"gi|645322132|ref|NR_118950.1| Bacillus amyloliquefaciens DSM 7 = ATCC 23350 16S ribosomal RNA, partial sequence",1
"gi|636559129|ref|NR_115186.1| Pandoraea pulmonicola strain CCUG 38759 16S ribosomal RNA, partial sequence",1
"gi|1227086180|ref|NR_148651.1| Dissulfurimicrobium hydrothermale strain Sh68 16S ribosomal RNA, partial sequence",1
"gi|310975266|ref|NR_037130.1| Solidesulfovibrio alcoholivorans strain SPSN 16S ribosomal RNA, partial sequence",1
"gi|228721494|ref|NR_027617.1| Thermosipho melanesiensis BI429 16S ribosomal RNA, partial sequence",1
"gi|444304160|ref|NR_074584.1| Allochromatium vinosum DSM 180 16S ribosomal RNA, partial sequence",1
"gi|507148144|ref|NR_102951.1| Thiocystis violascens DSM 198 16S ribosomal RNA, partial sequence",1
"gi|265678583|ref|NR_028888.1| Thiocystis violascens strain 6111 16S ribosomal RNA, partial sequence",1
"gi|265678620|ref|NR_028925.1| Arthrobacter roseus strain CMS90 16S ribosomal RNA, partial sequence",1
"gi|444439491|ref|NR_074806.1| Jonesia denitrificans strain DSM 20603 16S ribosomal RNA, partial sequence",1
"gi|1864207086|ref|NR_169380.1| Sphingomonas mohensis strain Z6 16S ribosomal RNA, partial sequence",1
"gi|343201646|ref|NR_042372.1| Sphingomonas desiccabilis strain CP1D 16S ribosomal RNA, partial sequence",1
"gi|636559432|ref|NR_115491.1| Rhizorhapis suberifaciens NBRC 15211 strain IFO 15211 16S ribosomal RNA, partial sequence",1
"gi|566085367|ref|NR_109416.1| Legionella tunisiensis strain LegM 16S ribosomal RNA, partial sequence",1
"gi|672238864|ref|NR_125452.1| Cellulomonas pakistanensis strain NCCP-11 16S ribosomal RNA, partial sequence",1
"gi|265678980|ref|NR_029288.1| Cellulomonas hominis strain CE40 16S ribosomal RNA, partial sequence",1
"gi|631253121|ref|NR_114319.1| Cellulomonas iranensis strain JCM 18110 16S ribosomal RNA, partial sequence",1
"gi|645321380|ref|NR_118360.1| Dictyoglomus thermophilum H-6-12 16S ribosomal RNA, partial sequence",1
"gi|1864207181|ref|NR_169476.1| Kosakonia quasisacchari strain WCHEs120001 16S ribosomal RNA, partial sequence",1
"gi|2363086816|ref|NR_181665.1| Alicyclobacillus fructus strain FSL-W10-0059 16S ribosomal RNA, partial sequence",1
"gi|631250918|ref|NR_112115.1| Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446 strain ATCC 27009 16S ribosomal RNA, partial sequence",1
"gi|961555239|ref|NR_134208.1| Symbiobacterium ostreiconchae strain KY38 16S ribosomal RNA, partial sequence",1
"gi|2363081689|ref|NR_179091.1| Paraconexibacter algicola strain Seoho-28 16S ribosomal RNA, partial sequence",1
"gi|343201595|ref|NR_042321.1| Hoeflea alexandrii strain AM1V30 16S ribosomal RNA, partial sequence",1
"gi|636560668|ref|NR_116728.1| Aquaspirillum polymorphum strain DSM 9160 16S ribosomal RNA, partial sequence",1
"gi|659364999|ref|NR_121771.1| Magnetospirillum gryphiswaldense MSR-1 16S ribosomal RNA, partial sequence",1
"gi|343201456|ref|NR_042182.1| Beijerinckia derxii subsp. venezuelae strain DSM 2329 16S ribosomal RNA, partial sequence",1
"gi|219878457|ref|NR_025596.1| Methylocella tundrae strain T4 16S ribosomal RNA, partial sequence",1
"gi|2363083485|ref|NR_179991.1| Phreatobacter cathodiphilus strain S-12 16S ribosomal RNA, partial sequence",1
"gi|559795162|ref|NR_104749.1| Mesobacillus subterraneus strain COOI3B 16S ribosomal RNA, partial sequence",1
"gi|645320903|ref|NR_118001.1| Sandaracinus amylolyticus strain NOSO 4 16S ribosomal RNA, partial sequence",1
"gi|645320199|ref|NR_117461.1| Jahnella thaxteri strain Pl t4 16S ribosomal RNA, partial sequence",1
"gi|2363083142|ref|NR_179819.1| Tabrizicola soli strain ZQBW 16S ribosomal RNA, partial sequence",1
"gi|631253078|ref|NR_114276.1| Paracoccus chinensis strain NBRC 104937 16S ribosomal RNA, partial sequence",1
"gi|2363083605|ref|NR_180050.1| Nioella ostreopsis strain Z7-4 16S ribosomal RNA, partial sequence",1
"gi|974142165|ref|NR_134685.1| Acinetobacter variabilis strain NIPH 2171 16S ribosomal RNA, partial sequence",1
"gi|2363080783|ref|NR_178633.1| Acinetobacter refrigeratoris strain WB1 16S ribosomal RNA, partial sequence",1
"gi|645320416|ref|NR_117627.1| Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824 16S ribosomal RNA, partial sequence",1
"gi|219846921|ref|NR_026513.1| Komagataeibacter europaeus strain DES11 16S ribosomal RNA, partial sequence",1
"gi|636559527|ref|NR_115587.1| Brevibacillus agri strain NRRL NRS-1219 16S ribosomal RNA, partial sequence",1
"gi|631252569|ref|NR_113767.1| Brevibacillus agri strain NBRC 15538 16S ribosomal RNA, partial sequence",1
"gi|343200296|ref|NR_040983.1| Brevibacillus agri strain DSM 6348 16S ribosomal RNA, partial sequence",1
"gi|2962412284|ref|NR_199478.1| Methylobacterium litchii strain SD21 16S ribosomal RNA, partial sequence",1
"gi|2836274946|ref|NR_197709.1| Methylobacterium amylolyticum strain NEAU-140 16S ribosomal RNA, partial sequence",1
"gi|343200755|ref|NR_041442.1| Methylobacterium persicinum strain 002-165 16S ribosomal RNA, partial sequence",1
"gi|566085283|ref|NR_109170.1| Allosphingosinicella indica strain Dd16 16S ribosomal RNA, partial sequence",1
"gi|2363082942|ref|NR_179719.1| Sphingomonas xanthus strain AE3 16S ribosomal RNA, partial sequence",1
"gi|2363080541|ref|NR_178511.1| Sphingosinicella ginsenosidimutans strain BS11 16S ribosomal RNA, partial sequence",1
"gi|1277396195|ref|NR_151906.1| Cephaloticoccus capnophilus strain CV41 16S ribosomal RNA, partial sequence",1
"gi|343202573|ref|NR_042931.1| Paraburkholderia phytofirmans PsJN 16S ribosomal RNA, partial sequence",1
"gi|2363083491|ref|NR_179994.1| Dermabacter porcinasus strain 2a1I-BL09 16S ribosomal RNA, partial sequence",1
"gi|2962412205|ref|NR_199398.1| Niallia tiangongensis strain JL1B1071 16S ribosomal RNA, complete sequence",1
"gi|2962412204|ref|NR_199397.1| Niallia tiangongensis strain JL1B1071 16S ribosomal RNA, complete sequence",1
"gi|2962412202|ref|NR_199395.1| Niallia tiangongensis strain JL1B1071 16S ribosomal RNA, complete sequence",1
"gi|566085104|ref|NR_108845.1| Nocardioides alpinus strain Cr7-14 16S ribosomal RNA, partial sequence",1
"gi|2363086502|ref|NR_181505.1| Nocardioides lacusdianchii strain JXJ CY 38 16S ribosomal RNA, partial sequence",1
"gi|2836274890|ref|NR_197653.1| Nocardioides renjunii strain S-34 16S ribosomal RNA, partial sequence",1
"gi|444439663|ref|NR_074978.1| Opitutus terrae PB90-1 16S ribosomal RNA, partial sequence",1
"gi|2363082555|ref|NR_179524.1| Mycobacterium numidiamassiliense strain AB215 16S ribosomal RNA, partial sequence",1
"gi|2363082553|ref|NR_179523.1| Mycobacterium rhizamassiliense strain AB57 16S ribosomal RNA, partial sequence",1
"gi|343200321|ref|NR_041008.1| Gordonia effusa strain IFM 10200 16S ribosomal RNA, partial sequence",1
"gi|2363085396|ref|NR_180946.1| Cellulosimicrobium composti strain BIT-GX5 16S ribosomal RNA, partial sequence",1
"gi|343202579|ref|NR_042937.1| Cellulosimicrobium funkei strain W6122 16S ribosomal RNA, partial sequence",1
"gi|645322314|ref|NR_119095.1| Cellulosimicrobium cellulans strain DSM 43879 16S ribosomal RNA, partial sequence",1
"gi|2180566482|ref|NR_174322.1| Agrobacterium tumefaciens strain CNPSo 675 16S ribosomal RNA, complete sequence",1
"gi|645319638|ref|NR_117019.1| Blastococcus saxobsidens strain BC444 16S ribosomal RNA, partial sequence",1
"gi|1679775893|ref|NR_163615.1| Blastococcus xanthinilyticus strain BMG 862 16S ribosomal RNA, partial sequence",1
"gi|2363083558|ref|NR_180027.1| Blastococcus litoris strain GP-S2-8 16S ribosomal RNA, partial sequence",1
"gi|343201392|ref|NR_042118.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",1
"gi|219846803|ref|NR_026395.1| Pseudomonas graminis strain DSM 11363 16S ribosomal RNA, partial sequence",1
"gi|2363087269|ref|NR_181890.1| Pseudomonas zeiradicis strain PI116 16S ribosomal RNA, partial sequence",1
"gi|959494972|ref|NR_133828.1| Stutzerimonas kunmingensis strain HL22-2 16S ribosomal RNA, partial sequence",1
"gi|343204177|ref|NR_043748.1| Caenimonas koreensis strain EMB320 16S ribosomal RNA, partial sequence",1
"gi|2363082755|ref|NR_179626.1| Massiliimalia timonensis strain Marseille-P3753 16S ribosomal RNA, partial sequence",1
"gi|444439515|ref|NR_074830.1| Conexibacter woesei strain DSM 14684 16S ribosomal RNA, partial sequence",1
"gi|631252066|ref|NR_113264.1| Conexibacter arvalis strain KV-962 16S ribosomal RNA, partial sequence",1
"gi|265678674|ref|NR_028979.1| Conexibacter woesei strain ID131577 16S ribosomal RNA, partial sequence",1
"gi|636559427|ref|NR_115484.1| Rhodopseudomonas palustris strain ATCC 17001 16S ribosomal RNA, partial sequence",1
"gi|343206154|ref|NR_044744.1| Afipia clevelandensis ATCC 49720 strain B-91-007353 16S ribosomal RNA, partial sequence",1
"gi|343199115|ref|NR_044588.1| Ferruginibacter alkalilentus strain HU1-GD23 16S ribosomal RNA, partial sequence",1
"gi|631251435|ref|NR_112632.1| Niallia circulans strain NBRC 13626 16S ribosomal RNA, partial sequence",1
